Attendance,Personal fouls,Free throw attempts,Steals,Blocks,Turnovers,Field goal attempts,Three-point field goal attempts,Offensive rebounds,Defensive rebounds
1,0.04,0.01,0,-0.02,0.01,-0.07,-0.22,0.02,-0.05
0.04,1,0.26,0.03,0.02,0.18,0.06,0.04,0.03,0.02
0.01,0.26,1,0.06,0,0.05,-0.18,-0.1,0.09,0.05
0,0.03,0.06,1,0.01,0.1,0.13,0.01,0.03,-0.18
-0.02,0.02,0,0.01,1,0.03,0.06,0.03,-0.01,0.22
0.01,0.18,0.05,0.1,0.03,1,-0.3,-0.04,0.02,0.13
-0.07,0.06,-0.18,0.13,0.06,-0.3,1,0.3,0.51,0.15
-0.22,0.04,-0.1,0.01,0.03,-0.04,0.3,1,0.04,0.1
0.02,0.03,0.09,0.03,-0.01,0.02,0.51,0.04,1,-0.02
-0.05,0.02,0.05,-0.18,0.22,0.13,0.15,0.1,-0.02,1
