Attendance,Personal fouls,Free throw attempts,Steals,Blocks,Turnovers,Field goal attempts,Three-point field goal attempts,Offensive rebounds,Defensive rebounds
1,0.02,0.02,0.02,0.03,-0.01,-0.04,-0.22,0.04,0
0.02,1,0.24,0.03,0.03,0.18,0.08,0.04,0.03,0
0.02,0.24,1,0.04,0.02,0.04,-0.2,-0.09,0.07,0.05
0.02,0.03,0.04,1,0.04,0.11,0.11,0,0.01,-0.16
0.03,0.03,0.02,0.04,1,0.07,0.04,-0.02,0.02,0.18
-0.01,0.18,0.04,0.11,0.07,1,-0.28,-0.04,0.02,0.15
-0.04,0.08,-0.2,0.11,0.04,-0.28,1,0.3,0.52,0.17
-0.22,0.04,-0.09,0,-0.02,-0.04,0.3,1,0.06,0.1
0.04,0.03,0.07,0.01,0.02,0.02,0.52,0.06,1,0.02
0,0,0.05,-0.16,0.18,0.15,0.17,0.1,0.02,1
